"Snapdragon 8 Elite (Gen 4)
Qualcomm","98
 A+",2745854,3155 / 9723,"8
 (2+6)",4320 MHz,Adreno 830
"A18 Pro
Apple","97
 A+",1793917,3582 / 9089,"6
 (2+4)",4050 MHz,Apple A18 Pro GPU
"Apple A18
Apple","95
 A+",1622118,3466 / 8592,"6
 (2+4)",4050 MHz,Apple A18 GPU
"Dimensity 9400 Plus
MediaTek","98
 A+",2651570,2927 / 9000,"8
 (1+3+4)",3730 MHz,Mali-G925 MP12
"Dimensity 9400
MediaTek","95
 A+",2605867,2874 / 8969,"8
 (1+3+4)",3630 MHz,Mali-G925 MP12
"A17 Pro
Apple","93
 A+",1533780,2953 / 7441,"6
 (2+4)",3780 MHz,Apple A17 GPU
"Dimensity 9300 Plus
MediaTek","94
 A+",2111636,2302 / 7547,"8
 (1+3+4)",3400 MHz,Mali-G720 MP12
"Dimensity 9300
MediaTek","95
 A+",2079810,2239 / 7538,"8
 (1+3+4)",3250 MHz,Mali-G720 MP12
"Snapdragon 8 Gen 3
Qualcomm","92
 A",2052774,2193 / 7304,"8
 (1+3+2+2)",3300 MHz,Adreno 750
"A16 Bionic
Apple","89
 A",1445704,2627 / 6838,"6
 (2+4)",3460 MHz,Apple A16 GPU
"Exynos 2400
Samsung","87
 A",1744941,2196 / 6964,"10
 (1+2+3+4)",3210 MHz,Samsung Xclipse 940
"Snapdragon 8s Gen 4
Qualcomm","93
 A+",2160544,2154 / 6880,"8
 (1+3+2+2)",3210 MHz,Adreno 825
"Exynos 2400e
Samsung","86
 A",1781567,2099 / 6414,"10
 (1+2+3+4)",3110 MHz,Samsung Xclipse 940
"A15 Bionic
Apple","82
 A",1294678,2332 / 5736,"6
 (2+4)",3230 MHz,Apple A15 GPU
"Dimensity 9200 Plus
MediaTek","78
 A",1489987,2090 / 5532,"8
 (1+3+4)",3350 MHz,Mali-G715 MP11
"Dimensity 8400
MediaTek","82
 A",1633597,1571 / 6033,"8
 (1+3+4)",3250 MHz,Mali-G720 MP7
"Snapdragon 8s Gen 3
Qualcomm","77
 A",1488885,2019 / 5570,"8
 (1+4+3)",3000 MHz,Adreno 735
